id,en,de
,,
JOB_COLUMN_1,Status,Status
JOB_COLUMN_2,Name,Name
JOB_COLUMN_3,Priority,Priorität
JOB_COLUMN_4,Clients,Clients
JOB_COLUMN_5,Progress,Fortschritt
JOB_COLUMN_6,Type,Typ
JOB_COLUMN_7,Creator,Ersteller
JOB_COLUMN_8,Time Created,Erstellungszeitpunkt
JOB_COLUMN_9,Frames,Frames
JOB_COLUMN_10,Errors,Fehler
JOB_COLUMN_11,Pools,Pools
JOB_COLUMN_12,Note,Notiz
,,
JOB_DETAIL_1,Details,Details
JOB_DETAIL_2,Status,Status
JOB_DETAIL_3,Type,Typ
JOB_DETAIL_4,Creator,Ersteller
JOB_DETAIL_5,Created,Erstellt
JOB_DETAIL_6,Progress,Fortschritt
JOB_DETAIL_7,Active Clients,Aktive Clients
JOB_DETAIL_8,Time Rendered,Gerenderte Zeit
JOB_DETAIL_9,Time Remaining,verbleibende Zeit
JOB_DETAIL_10,Files,Dateien
JOB_DETAIL_11,Scene File,Szene
JOB_DETAIL_12,Output Files,Ausgabedateien
,,
JOB_DETAIL_STATUS_1,Rendering,In Arbeit
JOB_DETAIL_STATUS_2,Paused Deffered,verzögert pausiert
JOB_DETAIL_STATUS_3,Queued,Warte auf Clients
JOB_DETAIL_STATUS_4,Error,Fehlerhaft
JOB_DETAIL_STATUS_5,Paused,Pausiert
JOB_DETAIL_STATUS_6,Finished,Fertiggestellt
JOB_DETAIL_STATUS_7,Cancelled,Abgebrochen
,,
JOB_CONTEXT_MENU_1,Pause Job Deferred,Job verzögert pausieren
JOB_CONTEXT_MENU_2,Pause Job Immediately,Job sofort pausieren
JOB_CONTEXT_MENU_3,Resume Job,Job wiederaufnehmen
JOB_CONTEXT_MENU_4,Cancle Job Permanently,Job dauerhaft abbrechen
JOB_CONTEXT_MENU_5,Configure Job,Job bearbeiten
JOB_CONTEXT_MENU_6,Reset Job Error Count,Job-Fehlerzahl zurücksetzen
JOB_CONTEXT_MENU_7,Resubmit Job Paused,Job erneut einreichen (pausiert)
JOB_CONTEXT_MENU_8,Open Output Directory,Ausgabeverzeichnis öffnen
JOB_CONTEXT_MENU_9,Open Scene Directory,Szenenverzeichnis öffnen
JOB_CONTEXT_MENU_10,Remove Job,Job löschen
JOB_CONTEXT_MENU_11,Pause Jobs Deferred,Jobs verzögert abbrechen
JOB_CONTEXT_MENU_12,Pause Jobs Immediately,Jobs sofort abbrechen
JOB_CONTEXT_MENU_13,Resume Jobs,Jobs wiederaufnehmen
JOB_CONTEXT_MENU_14,Cancle Jobs Permanently,Jobs dauerhaft abbrechen
JOB_CONTEXT_MENU_15,Configure Jobs,Jobs bearbeiten
JOB_CONTEXT_MENU_16,Reset Jobs Error Count,Job-Fehlerzahlen zurücksetzen
JOB_CONTEXT_MENU_17,Resubmit Jobs Paused,Jobs erneut einreichen (pausiert)
JOB_CONTEXT_MENU_18,Open Output Directories,Ausgabeverzeichnisse öffnen
JOB_CONTEXT_MENU_19,Open Scene Directories,Szenenverzeichnisse öffnen
JOB_CONTEXT_MENU_20,Remove Jobs,Jobs löschen
,,
JOB_CHUNKS_1,Chunk List,Chunk Liste
JOB_GRAPHS_1,Graphs,Statistiken
,,
JOB_CHUNK_TIME_GRAPH_1,Chunk Time Graph,Chunk Zeit Statistik
JOB_CHUNK_TIME_GRAPH_2,Chunk:,Chunk:
JOB_CHUNK_TIME_GRAPH_3,Client:,Client:
JOB_CHUNK_TIME_GRAPH_4,Time:,Zeit:
JOB_CHUNK_TIME_GRAPH_5,Tries:,Versuche:
JOB_CHUNK_TIME_GRAPH_6,Accumulate Tries,Versuche addieren
JOB_CHUNK_TIME_GRAPH_7,accumulated,zusammengerechnet
JOB_CHUNK_TIME_GRAPH_8,several,mehrere
,,
JOB_CLIENT_PIE_CHART_1,not assigned,nicht zugeordnet
JOB_CLIENT_PIE_CHART_2,Chunks,Chunks
,,
CLIENT_COLUMN_1,Status,Status
CLIENT_COLUMN_2,Name,Name
CLIENT_COLUMN_3,Username,Benutzer
CLIENT_COLUMN_4,Platform,Betriebssystem
CLIENT_COLUMN_5,CPU,CPU
CLIENT_COLUMN_6,RAM,RAM
CLIENT_COLUMN_7,Current Job,Aktueller Job
CLIENT_COLUMN_8,Errors,Fehler
CLIENT_COLUMN_9,Pools,Pools
